Week,Start_Date,End_Date
1,09/09/21,09/15/21
2,09/16/21,09/22/21
3,09/23/21,09/29/21
4,09/30/21,10/06/21
5,10/07/21,10/13/21
6,10/14/21,10/20/21
7,10/21/21,10/27/21
8,10/28/21,11/03/21
9,11/04/21,11/10/21
10,11/11/21,11/17/21
11,11/18/21,11/24/21
12,11/25/21,12/01/21
13,12/02/21,12/08/21
14,12/09/21,12/15/21
15,12/16/21,12/22/21
16,12/23/21,12/29/21
17,12/30/21,01/05/22
18,01/06/22,01/12/22
1,09/10/20,09/16/20
2,09/17/20,09/23/20
3,09/24/20,09/30/20
4,10/01/20,10/07/20
5,10/08/20,10/14/20
6,10/15/20,10/21/20
7,10/22/20,10/28/20
8,10/29/20,11/04/20
9,11/05/20,11/11/20
10,11/12/20,11/18/20
11,11/19/20,11/25/20
12,11/26/20,12/02/20
13,12/03/20,12/09/20
14,12/10/20,12/16/20
15,12/17/20,12/23/20
16,12/24/20,12/30/20
17,12/31/20,01/06/21
1,09/05/19,09/11/19
2,09/12/19,09/18/19
3,09/19/19,09/25/19
4,09/26/19,10/02/19
5,10/03/19,10/09/19
6,10/10/19,10/16/19
7,10/17/19,10/23/19
8,10/24/19,10/30/19
9,10/31/19,11/06/19
10,11/07/19,11/13/19
11,11/14/19,11/20/19
12,11/21/19,11/27/19
13,11/28/19,12/04/19
14,12/05/19,12/11/19
15,12/12/19,12/18/19
16,12/19/19,12/25/19
17,12/26/19,01/01/20
1,09/06/18,09/12/18
2,09/13/18,09/19/18
3,09/20/18,09/26/18
4,09/27/18,10/03/18
5,10/04/18,10/10/18
6,10/11/18,10/17/18
7,10/18/18,10/24/18
8,10/25/18,10/31/18
9,11/01/18,11/07/18
10,11/08/18,11/14/18
11,11/15/18,11/21/18
12,11/22/18,11/28/18
13,11/29/18,12/05/18
14,12/06/18,12/12/18
15,12/13/18,12/19/18
16,12/20/18,12/26/18
17,12/27/18,01/02/19
1,09/07/17,09/13/17
2,09/14/17,09/20/17
3,09/21/17,09/27/17
4,09/28/17,10/04/17
5,10/05/17,10/11/17
6,10/12/17,10/18/17
7,10/19/17,10/25/17
8,10/26/17,11/01/17
9,11/02/17,11/08/17
10,11/09/17,11/15/17
11,11/16/17,11/22/17
12,11/23/17,11/29/17
13,11/30/17,12/06/17
14,12/07/17,12/13/17
15,12/14/17,12/20/17
16,12/21/17,12/27/17
17,12/28/17,01/03/18
1,09/08/16,09/14/16
2,09/15/16,09/21/16
3,09/22/16,09/28/16
4,09/29/16,10/05/16
5,10/06/16,10/12/16
6,10/13/16,10/19/16
7,10/20/16,10/26/16
8,10/27/16,11/02/16
9,11/03/16,11/09/16
10,11/10/16,11/16/16
11,11/17/16,11/23/16
12,11/24/16,11/30/16
13,12/01/16,12/07/16
14,12/08/16,12/14/16
15,12/15/16,12/21/16
16,12/22/16,12/28/16
17,12/29/16,01/04/17
1,09/10/15,09/16/15
2,09/17/15,09/23/15
3,09/24/15,09/30/15
4,10/01/15,10/07/15
5,10/08/15,10/14/15
6,10/15/15,10/21/15
7,10/22/15,10/28/15
8,10/29/15,11/04/15
9,11/05/15,11/11/15
10,11/12/15,11/18/15
11,11/19/15,11/25/15
12,11/26/15,12/02/15
13,12/03/15,12/09/15
14,12/10/15,12/16/15
15,12/17/15,12/23/15
16,12/24/15,12/30/15
17,12/31/15,01/06/16
